,StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,HmsLatitude,HmsLongitude,SitingDesc,latitude_dms,latitude,longitude_dms,longitude,geometry,Period
5,6,Davis,Davis,North Central Region Office,Yolo,1982-07-17,2050-12-31,True,True,60,Grass,38º32'8N / 38.535694,-121º46'35W / -121.776360,,38º32'8N ,38.535694,-121º46'35W ,-121.77636,POINT (-154658.420472481 59179.42322886409),25004 days
11,12,Durham,Chico,Northern Region Office,Butte,1982-10-19,2050-12-31,True,True,130,Grass,39º36'31N / 39.608639,-121º49'28W / -121.824430,,39º36'31N ,39.608639,-121º49'28W ,-121.82443,POINT (-156548.5434231397 178484.1589144138),24910 days
83,84,Browns Valley,Marysville,North Central Region Office,Yuba,1989-04-13,2050-12-31,True,True,940,Grass,39º15'9N / 39.252561,-121º18'56W / -121.315670,,39º15'9N ,39.252561,-121º18'56W ,-121.31567,POINT (-113445.8934088053 138196.0923761083),22542 days
130,131,Fair Oaks,Fair Oaks,North Central Region Office,Sacramento,1997-04-18,2050-12-31,True,True,265,Grass,38º39'0N / 38.649964,-121º13'8W / -121.218870,,38º39'0N ,38.649964,-121º13'8W ,-121.21887,POINT (-105960.6590081183 71113.67350678798),19615 days
138,139,Winters,Winters,North Central Region Office,Solano,1998-06-15,2050-12-31,True,True,136,Grass,38º30'5N / 38.501258,-121º58'43W / -121.978530,,38º30'5N ,38.501258,-121º58'43W ,-121.97853,POINT (-172337.7629236593 55700.91757898359),19192 days
154,155,Bryte (experimental),West Sacramento,North Central Region Office,Yolo,1998-12-10,2022-09-06,False,False,40,Bare,38º35'57N / 38.599158,-121º32'25W / -121.540410,,38º35'57N ,38.599158,-121º32'25W ,-121.54041,POINT (-134002.8133638588 65873.72509872634),8671 days
225,226,Woodland,Woodland,North Central Region Office,Yolo,2011-05-12,2050-12-31,True,True,82,Grass,38º40'22N / 38.672722,-121º48'42W / -121.811720,,38º40'22N ,38.672722,-121º48'42W ,-121.81172,POINT (-157445.6115651408 74466.61543411901),14478 days
234,235,Verona,Nicolaus,North Central Region Office,Sutter,2012-05-18,2050-12-31,True,True,24,Alfalfa,38º47'53N / 38.797944,-121º36'41W / -121.611360,,38º47'53N ,38.797944,-121º36'41W ,-121.61136,POINT (-139798.7644112608 88069.20508695953),14106 days
243,244,Biggs,Biggs,Northern Region Office,Butte,2015-06-18,2050-12-31,True,True,72,Grass,39º23'12N / 39.386632,-121º50'7W / -121.835278,,39º23'12N ,39.386632,-121º50'7W ,-121.835278,POINT (-157956.7769093872 153837.1808434483),12980 days
249,250,Williams,Williams,Northern Region Office,Colusa,2016-08-09,2050-12-31,True,True,69,Grass,39º12'38N / 39.210667,-122º10'8W / -122.168889,,39º12'38N ,39.210667,-122º10'8W ,-122.168889,POINT (-187112.350782048 134893.3810546738),12562 days
